id_tubarao,tempo,lat,lon,comportamento,p_forrageio
1,2024-01-01 00:00:00,6.338749,60.089104,busca,0.2947
1,2024-01-01 00:05:00,6.326336,60.081426,busca,0.3882
1,2024-01-01 00:10:00,6.333583,60.076373,busca,0.3968
1,2024-01-01 00:15:00,6.334968,60.087291,busca,0.4167
1,2024-01-01 00:20:00,6.336156,60.074418,busca,0.3384
1,2024-01-01 00:25:00,6.339477,60.067607,busca,0.4788
1,2024-01-01 00:30:00,6.344864,60.072519,busca,0.3409
1,2024-01-01 00:35:00,6.334976,60.063626,busca,0.3186
1,2024-01-01 00:40:00,6.342963,60.069621,busca,0.3917
1,2024-01-01 00:45:00,6.334772,60.066551,busca,0.4136
1,2024-01-01 00:50:00,6.330657,60.077084,busca,0.4677
1,2024-01-01 00:55:00,6.330225,60.073671,busca,0.4258
1,2024-01-01 01:00:00,6.320044,60.077879,busca,0.2918
1,2024-01-01 01:05:00,6.327471,60.065149,busca,0.5486
1,2024-01-01 01:10:00,6.32758,60.068773,busca,0.5067
1,2024-01-01 01:15:00,6.329691,60.069922,busca,0.3377
1,2024-01-01 01:20:00,6.328715,60.078247,busca,0.3754
1,2024-01-01 01:25:00,6.332667,60.078692,busca,0.3998
1,2024-01-01 01:30:00,6.331848,60.075287,busca,0.5362
1,2024-01-01 01:35:00,6.328299,60.077181,busca,0.5471
1,2024-01-01 01:40:00,6.332911,60.079527,busca,0.4449
1,2024-01-01 01:45:00,6.34033,60.080314,busca,0.4384
1,2024-01-01 01:50:00,6.33285,60.084609,busca,0.3786
1,2024-01-01 01:55:00,6.337007,60.08474,busca,0.4654
1,2024-01-01 02:00:00,6.332062,60.092933,busca,0.3951
1,2024-01-01 02:05:00,6.335271,60.092184,busca,0.4089
1,2024-01-01 02:10:00,6.331015,60.090376,busca,0.4497
1,2024-01-01 02:15:00,6.324355,60.084433,busca,0.4062
1,2024-01-01 02:20:00,6.321691,60.074913,transitando,0.3006
1,2024-01-01 02:25:00,6.326945,60.066912,transitando,0.5048
1,2024-01-01 02:30:00,6.328848,60.065389,transitando,0.3156
1,2024-01-01 02:35:00,6.340266,60.069829,transitando,0.5393
1,2024-01-01 02:40:00,6.343849,60.069049,transitando,0.4118
1,2024-01-01 02:45:00,6.348503,60.061642,transitando,0.5148
1,2024-01-01 02:50:00,6.351212,60.058096,transitando,0.4631
1,2024-01-01 02:55:00,6.35881,60.05266,transitando,0.622
1,2024-01-01 03:00:00,6.357382,60.051297,transitando,0.5254
1,2024-01-01 03:05:00,6.354336,60.054486,transitando,0.3786
1,2024-01-01 03:10:00,6.360598,60.058926,transitando,0.4542
1,2024-01-01 03:15:00,6.354556,60.058121,transitando,0.4041
1,2024-01-01 03:20:00,6.361727,60.055783,transitando,0.3429
1,2024-01-01 03:25:00,6.363875,60.045064,transitando,0.4344
1,2024-01-01 03:30:00,6.359567,60.039471,transitando,0.5369
1,2024-01-01 03:35:00,6.360953,60.042301,transitando,0.5259
1,2024-01-01 03:40:00,6.363267,60.04505,transitando,0.4802
1,2024-01-01 03:45:00,6.359848,60.042764,transitando,0.442
1,2024-01-01 03:50:00,6.352079,60.037074,transitando,0.3728
1,2024-01-01 03:55:00,6.355693,60.028939,transitando,0.4778
1,2024-01-01 04:00:00,6.357644,60.023269,transitando,0.4463
1,2024-01-01 04:05:00,6.356317,60.018905,transitando,0.4032
1,2024-01-01 04:10:00,6.358444,60.025661,transitando,0.5242
1,2024-01-01 04:15:00,6.36029,60.025151,transitando,0.522
1,2024-01-01 04:20:00,6.359874,60.021684,transitando,0.5162
1,2024-01-01 04:25:00,6.360223,60.025372,transitando,0.4405
1,2024-01-01 04:30:00,6.362256,60.029899,transitando,0.513
1,2024-01-01 04:35:00,6.365122,60.028741,transitando,0.6406
1,2024-01-01 04:40:00,6.365256,60.027019,transitando,0.5016
1,2024-01-01 04:45:00,6.367935,60.026634,transitando,0.5882
1,2024-01-01 04:50:00,6.364391,60.025507,transitando,0.5921
1,2024-01-01 04:55:00,6.364688,60.028146,transitando,0.5406
1,2024-01-01 05:00:00,6.363363,60.029537,transitando,0.5868
1,2024-01-01 05:05:00,6.366821,60.027562,transitando,0.609
1,2024-01-01 05:10:00,6.367977,60.02286,transitando,0.483
1,2024-01-01 05:15:00,6.360391,60.031577,transitando,0.5879
1,2024-01-01 05:20:00,6.358739,60.028791,transitando,0.4699
1,2024-01-01 05:25:00,6.361721,60.022381,transitando,0.5863
1,2024-01-01 05:30:00,6.364376,60.020616,transitando,0.4654
1,2024-01-01 05:35:00,6.354586,60.024527,transitando,0.7316
