id_tubarao,tempo,timestamp,lat,lon,comportamento,p_forrageio
1,2024-01-04 00:00:00,1704337200,-7.96803,57.397621,transitando,0.4238
1,2024-01-04 00:05:00,1704337500,-7.960382,57.397413,transitando,0.6268
1,2024-01-04 00:10:00,1704337800,-7.961797,57.397485,transitando,0.5449
1,2024-01-04 00:15:00,1704338100,-7.958644,57.399217,transitando,0.2942
1,2024-01-04 00:20:00,1704338400,-7.966349,57.385582,forrageando,0.4316
1,2024-01-04 00:25:00,1704338700,-7.965646,57.383473,forrageando,0.3757
1,2024-01-04 00:30:00,1704339000,-7.975843,57.389508,forrageando,0.3681
1,2024-01-04 00:35:00,1704339300,-7.971256,57.394601,forrageando,0.5795
1,2024-01-04 00:40:00,1704339600,-7.968604,57.397878,forrageando,0.4075
1,2024-01-04 00:45:00,1704339900,-7.978937,57.393664,forrageando,0.4927
1,2024-01-04 00:50:00,1704340200,-7.983504,57.400344,forrageando,0.538
1,2024-01-04 00:55:00,1704340500,-7.982292,57.401463,forrageando,0.5111
1,2024-01-04 01:00:00,1704340800,-7.98171,57.402703,forrageando,0.5401
1,2024-01-04 01:05:00,1704341100,-7.983515,57.402711,forrageando,0.409
1,2024-01-04 01:10:00,1704341400,-7.986515,57.400785,forrageando,0.5676
1,2024-01-04 01:15:00,1704341700,-7.985957,57.402497,forrageando,0.5308
1,2024-01-04 01:20:00,1704342000,-7.983618,57.400869,forrageando,0.5856
1,2024-01-04 01:25:00,1704342300,-7.981048,57.401776,forrageando,0.4486
1,2024-01-04 01:30:00,1704342600,-7.976824,57.4064,forrageando,0.4619
1,2024-01-04 01:35:00,1704342900,-7.981578,57.409455,forrageando,0.5891
1,2024-01-04 01:40:00,1704343200,-7.979263,57.409148,forrageando,0.5401
1,2024-01-04 01:45:00,1704343500,-7.981152,57.409622,forrageando,0.5274
1,2024-01-04 01:50:00,1704343800,-7.981511,57.409254,forrageando,0.6486
1,2024-01-04 01:55:00,1704344100,-7.9818,57.407633,forrageando,0.5826
1,2024-01-04 02:00:00,1704344400,-7.979622,57.406398,forrageando,0.527
1,2024-01-04 02:05:00,1704344700,-7.981283,57.406939,forrageando,0.5313
1,2024-01-04 02:10:00,1704345000,-7.980104,57.410818,forrageando,0.5043
1,2024-01-04 02:15:00,1704345300,-7.983031,57.41265,forrageando,0.7106
1,2024-01-04 02:20:00,1704345600,-7.98456,57.415508,forrageando,0.5817
1,2024-01-04 02:25:00,1704345900,-7.98356,57.416393,forrageando,0.5602
1,2024-01-04 02:30:00,1704346200,-7.98299,57.416717,forrageando,0.6877
1,2024-01-04 02:35:00,1704346500,-7.985118,57.415922,forrageando,0.3748
1,2024-01-04 02:40:00,1704346800,-7.981823,57.405054,forrageando,0.6442
