id,timestamp,lat,lon,depth_dm,temp_cC,batt_mV,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,crc16,p_forrageio,comportamento
1,1704510000,749810,532029,602,2436,3954,50,611,-132,106,453,247,51786,0.4059,busca
1,1704510300,749886,531756,1628,2172,3967,501,17,-652,-354,54,-356,17402,0.4559,busca
1,1704510600,749937,531599,1563,2177,3991,1545,231,-358,79,-428,98,54823,0.5196,busca
1,1704510900,749949,531700,477,2391,3981,1993,577,-842,-444,201,41,63096,0.4867,busca
1,1704511200,750038,531765,1117,2307,3939,-385,-68,-1037,-220,-39,158,361,0.4137,busca
1,1704511500,749994,531649,1319,2173,3919,-227,40,247,75,-59,196,33538,0.3315,busca
1,1704511800,749888,531850,879,2313,3909,882,-277,-660,97,-34,51,7056,0.3741,busca
1,1704512100,750027,531949,1170,2208,3923,426,-689,-120,-266,238,-76,54690,0.4234,busca
1,1704512400,749940,532001,1754,2154,3908,1185,434,-358,137,132,-9,52733,0.3292,busca
1,1704512700,749795,531625,1997,2127,3998,357,-1400,91,-32,89,19,64139,0.3612,busca
1,1704513000,749856,531556,694,2327,3962,678,-575,-74,-114,-100,63,61293,0.3424,busca
1,1704513300,749990,531794,1432,2222,3980,1451,-183,371,-234,-228,-63,1917,0.4627,busca
1,1704513600,749915,531656,345,2450,3991,370,48,106,-62,64,-65,24379,0.3075,transitando
1,1704513900,749763,531706,373,2420,3956,1700,177,568,73,19,35,9083,0.4602,transitando
1,1704514200,749670,531692,51,2578,3994,1572,-82,133,91,-80,62,8981,0.332,transitando
1,1704514500,749592,531608,94,2327,3916,1125,416,70,120,5,16,2749,0.5288,transitando
1,1704514800,749606,531607,98,2442,3978,1099,369,-145,-21,-29,-18,15607,0.269,transitando
1,1704515100,749540,531895,283,2362,3962,403,49,-135,67,190,16,49467,0.513,transitando
1,1704515400,749548,531950,171,2457,3965,1326,-268,136,-26,51,109,29073,0.4138,transitando
1,1704515700,749602,532131,413,2347,3909,1591,-114,-44,-176,-224,-2,41483,0.4986,transitando
1,1704516000,749693,532048,207,2444,3955,2058,227,97,-46,45,30,51162,0.5237,transitando
1,1704516300,749725,532121,210,2443,3980,1569,172,-274,-59,-127,-91,28473,0.4698,transitando
1,1704516600,749671,532290,68,2454,3927,542,-84,-93,-54,6,59,6345,0.4214,transitando
1,1704516900,749579,532420,320,2479,3915,559,-71,-265,-70,-15,-11,50478,0.3154,transitando
1,1704517200,749531,532066,360,2423,3926,575,-109,-80,14,192,66,26531,0.4389,transitando
1,1704517500,749554,532208,471,2345,3927,1073,171,254,94,-100,-14,5619,0.5132,transitando
1,1704517800,749571,532166,414,2352,3916,1572,430,223,109,-174,43,23711,0.4129,transitando
1,1704518100,749547,531962,384,2422,3984,1493,-478,2,157,-14,26,16806,0.3195,transitando
1,1704518400,749558,531532,276,2474,3991,379,143,-190,-68,7,119,3327,0.519,transitando
1,1704518700,749563,531468,181,2502,3909,1681,-143,-81,-77,68,1,61066,0.5151,transitando
1,1704519000,749545,531387,259,2451,3944,1536,268,-307,13,166,-63,41033,0.4896,transitando
1,1704519300,749581,531128,177,2511,3907,804,99,285,-82,-79,-91,12046,0.5355,transitando
1,1704519600,749596,531196,73,2497,3951,296,797,211,-166,-78,-33,41050,0.5435,transitando
1,1704519900,749633,531184,223,2510,3905,480,-627,199,119,-63,73,32793,0.4886,transitando
1,1704520200,749653,531609,349,2308,3965,1842,484,154,-24,51,95,23078,0.4902,transitando
1,1704520500,749632,531829,81,2448,3967,1204,-182,528,24,-36,-57,10683,0.4535,transitando
1,1704520800,749684,532004,203,2418,3927,634,-404,-10,-43,22,53,27333,0.5155,transitando
1,1704521100,749704,532057,321,2422,3925,1411,249,49,-131,-89,-2,51563,0.3088,transitando
1,1704521400,749852,532102,415,2302,3903,1353,371,143,-9,-16,-76,13173,0.6031,transitando
1,1704521700,749828,532063,64,2445,3984,1164,-146,-39,48,97,-108,57623,0.3108,transitando
1,1704522000,749802,531652,265,2460,3904,95,528,-8,-50,191,-6,40879,0.498,transitando
1,1704522300,749870,531938,255,2447,3913,775,-194,-96,25,-22,34,39814,0.3947,transitando
1,1704522600,749766,532052,396,2386,3948,1167,-186,71,127,128,13,62881,0.4904,transitando
1,1704522900,749826,532160,444,2484,3948,260,204,175,65,-3,-27,49305,0.5551,transitando
1,1704523200,749852,532188,95,2466,3936,1436,321,135,-54,-98,87,22053,0.5283,transitando
1,1704523500,749840,532085,409,2481,3920,1524,-213,-108,-94,69,13,23405,0.3225,transitando
