id_tubarao,tempo,lat,lon,ssha,chlor_a,comportamento,p_forrageio,velocidade,nivel_fome
1,2024-01-02 00:00:00,7.081702,60.545224,-0.5925,0.011507,busca,0.5289,96.91,0.375
1,2024-01-02 00:05:00,7.083424,60.543426,-0.5925,0.011507,busca,0.3841,157.7,0.38
1,2024-01-02 00:10:00,7.080371,60.535506,-0.5925,0.011507,busca,0.3786,170.18,0.385
1,2024-01-02 00:15:00,7.081096,60.541858,-0.5925,0.011507,busca,0.4318,178.99,0.39
1,2024-01-02 00:20:00,7.079796,60.552029,-0.6546,0.011507,busca,0.4402,230.1,0.395
1,2024-01-02 00:25:00,7.087825,60.550737,-0.5925,0.011507,busca,0.4843,126.46,0.4
1,2024-01-02 00:30:00,7.088219,60.555311,-0.6546,0.011507,forrageando,0.549,96.46,0.41
1,2024-01-02 00:35:00,7.089862,60.556291,-0.6546,0.011507,forrageando,0.5163,79.21,0.42
1,2024-01-02 00:40:00,7.087531,60.559316,-0.6546,0.011507,busca,0.4984,145.55,0.425
1,2024-01-02 00:45:00,7.089772,60.566278,-0.8057,0.011507,busca,0.425,108.27,0.43
1,2024-01-02 00:50:00,7.085412,60.565758,-0.6546,0.011507,busca,0.3944,215.43,0.435
1,2024-01-02 00:55:00,7.093667,60.5715,-0.8057,0.011507,busca,0.4207,239.08,0.44
1,2024-01-02 01:00:00,7.101263,60.576989,-0.8057,0.011507,busca,0.3916,185.38,0.445
1,2024-01-02 01:05:00,7.10604,60.580296,-0.8057,0.011507,forrageando,0.6595,83.46,0.455
1,2024-01-02 01:10:00,7.103729,60.57516,-0.8057,0.011507,forrageando,0.5189,75.08,0.465
1,2024-01-02 01:15:00,7.102215,60.57421,-0.8057,0.011507,forrageando,0.5113,54.21,0.475
1,2024-01-02 01:20:00,7.102172,60.570681,-0.8057,0.011507,forrageando,0.5121,86.58,0.485
1,2024-01-02 01:25:00,7.106594,60.567424,-0.8057,0.011507,forrageando,0.5248,85.86,0.495
1,2024-01-02 01:30:00,7.10265,60.566141,-0.8057,0.011507,forrageando,0.5983,70.04,0.505
1,2024-01-02 01:35:00,7.100868,60.570182,-0.8057,0.011507,busca,0.452,182.99,0.51
1,2024-01-02 01:40:00,7.104995,60.56446,-0.8057,0.011507,busca,0.4035,140.97,0.515
1,2024-01-02 01:45:00,7.108735,60.568877,-0.8057,0.011507,busca,0.4105,172.03,0.52
1,2024-01-02 01:50:00,7.108077,60.562829,-0.6546,0.011507,busca,0.4451,209.41,0.525
1,2024-01-02 01:55:00,7.115739,60.555091,-0.5925,0.011507,busca,0.4395,233.61,0.53
1,2024-01-02 02:00:00,7.112529,60.568459,-0.8057,0.011507,busca,0.4173,150.82,0.535
1,2024-01-02 02:05:00,7.107217,60.5686,-0.8057,0.011507,forrageando,0.5319,59.77,0.335
1,2024-01-02 02:10:00,7.105566,60.567626,-0.8057,0.011507,forrageando,0.565,57.01,0.345
1,2024-01-02 02:15:00,7.107752,60.568784,-0.8057,0.011507,forrageando,0.6103,94.66,0.355
1,2024-01-02 02:20:00,7.109729,60.569093,-0.8057,0.011507,forrageando,0.5763,99.89,0.365
1,2024-01-02 02:25:00,7.115347,60.568134,-0.8057,0.011507,busca,0.4319,107.04,0.37
1,2024-01-02 02:30:00,7.115053,60.570965,-0.8057,0.011507,forrageando,0.5194,71.92,0.17
1,2024-01-02 02:35:00,7.112707,60.572626,-0.8057,0.011507,transitando,0.3381,269.07,0.175
1,2024-01-02 02:40:00,7.10805,60.563569,-0.8057,0.011507,busca,0.4382,179.27,0.18
1,2024-01-02 02:45:00,7.112636,60.566392,-0.8057,0.011507,busca,0.4586,247.92,0.185
