id,timestamp,lat,lon,depth_dm,temp_cC,batt_mV,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,crc16,p_forrageio,comportamento
1,1704942000,749810,532029,1082,2380,3947,807,327,-607,-209,219,29,57903,0.4888,busca
1,1704942300,749796,532200,1981,2096,3986,726,112,-825,111,293,234,22200,0.4336,busca
1,1704942600,749830,532482,1255,2191,3967,1288,-556,-572,-204,110,-133,30208,0.4026,busca
1,1704942900,749738,532302,772,2320,3998,2373,685,646,-265,149,139,3300,0.3336,busca
1,1704943200,749808,531901,989,2258,3958,-565,-656,31,-87,131,128,41190,0.3898,busca
1,1704943500,749839,531678,520,2361,3942,-466,-343,-107,-129,-83,338,19130,0.3032,busca
1,1704943800,749943,531788,1728,2194,3984,736,1050,-591,-164,-61,72,16428,0.5584,busca
1,1704944100,749940,531733,935,2403,3913,6,-1150,1170,109,-460,-396,3919,0.4767,busca
1,1704944400,749991,531581,1608,2147,3964,-128,268,-7,-207,22,-35,25468,0.4335,busca
1,1704944700,750033,531549,1053,2194,3977,1954,827,-661,183,145,-9,12786,0.5466,busca
1,1704945000,750033,531610,622,2354,3943,562,1137,-843,-83,-130,-69,55490,0.5539,busca
1,1704945300,750024,531444,714,2413,3971,166,-1724,-140,335,-127,-167,52089,0.4527,busca
1,1704945600,749967,531294,1389,2243,3921,-1482,-691,409,-199,23,-27,13642,0.4115,busca
1,1704945900,750045,531207,1580,2179,3912,-1501,-525,-1325,286,-135,-20,11367,0.5329,busca
1,1704946200,750035,531090,1814,2135,3986,-404,-954,-722,-344,-32,16,38048,0.5401,busca
1,1704946500,750026,531077,1782,2163,3912,698,-72,-765,-246,-310,102,63723,0.3998,busca
1,1704946800,750017,531448,332,2469,3945,-956,-312,-538,-279,77,-30,29783,0.3323,busca
1,1704947100,750096,531309,1621,2229,3966,391,148,-191,100,83,-288,3539,0.4123,busca
1,1704947400,750081,531124,1600,2163,3912,954,109,-108,-68,-353,386,32399,0.5718,busca
1,1704947700,750059,531194,1580,2130,3959,578,-169,288,-113,215,35,57025,0.3382,busca
1,1704948000,749995,530878,1895,2235,3939,2689,1763,-1300,-37,-184,51,62309,0.3976,busca
1,1704948300,749946,531164,1999,2058,3957,30,891,230,195,-57,204,27205,0.5395,busca
1,1704948600,749916,531082,859,2347,3965,1620,760,-809,100,274,-24,46645,0.4616,busca
1,1704948900,749965,530961,1122,2186,3947,81,-143,-399,-180,-288,124,29025,0.4866,busca
1,1704949200,749932,531090,403,2428,3946,-985,616,23,63,449,29,35889,0.4473,busca
1,1704949500,749893,531050,1164,2278,3944,330,154,301,-33,-65,-213,64561,0.4923,busca
1,1704949800,749844,531162,1069,2292,3950,1825,-61,-1357,23,-88,92,10978,0.6512,busca
1,1704950100,749822,531221,496,2395,3980,1786,-223,158,-161,60,-78,64599,0.3402,transitando
1,1704950400,749849,530805,219,2497,3970,1052,-64,353,12,-11,0,34809,0.5123,transitando
1,1704950700,749865,530852,120,2444,3912,707,-463,-3,-65,199,-83,20589,0.3583,transitando
1,1704951000,749800,531041,390,2439,3913,1640,-440,-449,27,-20,-73,6129,0.4562,transitando
1,1704951300,749792,530770,327,2432,3945,1228,-112,-59,53,-71,17,45011,0.5111,transitando
1,1704951600,749808,530635,413,2318,3972,1289,207,-117,28,22,-72,24011,0.4628,transitando
1,1704951900,749848,530464,178,2487,3916,395,126,542,40,120,110,36232,0.495,transitando
1,1704952200,749890,530190,292,2467,3981,1781,83,-330,-32,-154,-27,1179,0.3543,transitando
1,1704952500,749814,530113,337,2453,3912,805,28,-248,-40,-136,-15,54574,0.5603,transitando
1,1704952800,749809,530007,260,2445,3905,814,238,-96,58,-103,-50,27419,0.5408,transitando
1,1704953100,749796,529943,119,2479,3944,840,-181,209,126,88,-9,29008,0.2507,transitando
1,1704953400,749695,530081,447,2379,3963,1271,-610,-100,18,-124,-14,64819,0.5014,transitando
1,1704953700,749685,530207,99,2500,3952,533,332,-94,82,112,29,8557,0.4296,transitando
1,1704954000,749661,530449,70,2496,3980,502,460,28,102,149,101,26575,0.4444,transitando
1,1704954300,749655,530613,302,2376,3962,1238,281,35,-177,22,-12,26113,0.4145,transitando
1,1704954600,749561,530575,322,2472,3942,529,-53,76,0,161,48,30287,0.4974,transitando
1,1704954900,749592,530899,120,2478,3984,1323,-163,-178,14,15,22,11739,0.5775,transitando
1,1704955200,749566,530872,470,2363,3961,1046,-431,-98,-108,-65,-35,5799,0.4805,transitando
1,1704955500,749620,530815,339,2434,3993,1352,-69,-233,-8,-325,-10,35520,0.5173,transitando
1,1704955800,749582,530843,394,2328,3903,503,163,-136,26,-46,22,35527,0.5161,transitando
1,1704956100,749563,530822,440,2435,3996,1156,-48,-156,-67,-258,-55,65361,0.5163,transitando
1,1704956400,749534,530760,287,2523,3897,789,126,79,13,-12,49,50812,0.5505,transitando
1,1704956700,749504,530720,101,2349,3937,951,-96,-255,60,-166,38,43704,0.5628,transitando
1,1704957000,749503,530803,373,2452,3902,1490,-134,217,-117,10,-51,16228,0.5441,transitando
1,1704957300,749477,530758,451,2441,3913,489,251,208,-29,-52,16,60094,0.5328,transitando
1,1704957600,749500,530748,304,2407,3971,1457,319,-201,60,0,74,48103,0.5928,transitando
1,1704957900,749524,530867,602,2468,3931,-58,-135,-676,-181,-20,-141,54741,0.6317,busca
1,1704958200,749529,530952,1778,2096,3901,-1061,-1001,-383,-32,-136,-4,4606,0.308,busca
1,1704958500,749430,531332,1970,2090,3973,-947,1077,-413,155,244,119,65305,0.5221,busca
1,1704958800,749394,531378,1323,2234,3916,-728,-309,149,278,248,-19,48719,0.5447,busca
1,1704959100,749393,531320,1004,2292,3901,144,926,173,-191,-110,13,19573,0.4539,busca
1,1704959400,749443,531031,1239,2237,3946,1674,480,-914,-157,85,53,16417,0.4649,busca
1,1704959700,749469,531128,895,2305,3912,-676,672,-227,219,-19,40,57661,0.4385,busca
1,1704960000,749426,531405,1831,2132,3915,824,-917,-680,52,-117,-39,38532,0.6797,busca
1,1704960300,749410,531438,454,2430,3926,49,-100,-84,-59,-171,-12,20297,0.6355,busca
1,1704960600,749394,531448,389,2495,3972,1054,271,861,-106,-322,-219,9672,0.6004,busca
1,1704960900,749404,531512,1405,2258,3941,-124,-983,677,-131,-318,147,25505,0.4111,busca
1,1704961200,749313,531693,686,2357,3955,1728,456,-619,21,-147,27,33138,0.45,busca
1,1704961500,749297,531920,718,2333,3983,-1535,-366,458,-115,-178,33,17378,0.714,busca
