id_tubarao,tempo,timestamp,lat,lon,ssha_ambiente,chlor_a_ambiente,comportamento,p_forrageio
1,2024-01-01 00:00:00,1704078000,-8.012491,57.330031,2.5219,0.13655576,busca,0.4404
1,2024-01-01 00:05:00,1704078300,-8.012189,57.342076,2.5219,0.13655576,busca,0.4047
1,2024-01-01 00:10:00,1704078600,-8.015243,57.351669,2.5219,0.13655576,busca,0.3129
1,2024-01-01 00:15:00,1704078900,-8.017544,57.363267,2.5219,0.13655576,busca,0.4273
1,2024-01-01 00:20:00,1704079200,-8.013757,57.36224,2.5219,0.13655576,busca,0.4263
1,2024-01-01 00:25:00,1704079500,-8.015858,57.356078,2.5219,0.13655576,busca,0.4218
1,2024-01-01 00:30:00,1704079800,-8.014727,57.362992,2.5219,0.13655576,busca,0.3511
1,2024-01-01 00:35:00,1704080100,-8.012444,57.366588,2.5219,0.13655576,busca,0.4213
1,2024-01-01 00:40:00,1704080400,-8.00601,57.360252,2.5219,0.13655576,busca,0.5532
1,2024-01-01 00:45:00,1704080700,-8.005766,57.359031,2.5219,0.13655576,busca,0.4128
1,2024-01-01 00:50:00,1704081000,-7.998111,57.356986,2.5167,0.13655576,busca,0.5008
1,2024-01-01 00:55:00,1704081300,-8.001683,57.356472,2.5167,0.13655576,busca,0.5063
1,2024-01-01 01:00:00,1704081600,-8.000793,57.357913,2.5167,0.13655576,busca,0.4554
1,2024-01-01 01:05:00,1704081900,-8.004341,57.360847,2.5219,0.13655576,busca,0.4738
1,2024-01-01 01:10:00,1704082200,-7.995277,57.357566,2.5167,0.13655576,busca,0.4984
1,2024-01-01 01:15:00,1704082500,-7.989401,57.345989,2.5167,0.13655576,busca,0.3749
1,2024-01-01 01:20:00,1704082800,-7.998193,57.354697,2.5167,0.13655576,busca,0.4796
1,2024-01-01 01:25:00,1704083100,-8.00154,57.349998,2.5167,0.13655576,busca,0.3658
1,2024-01-01 01:30:00,1704083400,-7.999345,57.345162,2.5167,0.13655576,busca,0.4814
1,2024-01-01 01:35:00,1704083700,-7.992806,57.339682,2.5167,0.13655576,busca,0.3647
1,2024-01-01 01:40:00,1704084000,-8.002183,57.345036,2.5219,0.13655576,busca,0.6441
1,2024-01-01 01:45:00,1704084300,-8.004691,57.347775,2.5219,0.13655576,busca,0.4751
1,2024-01-01 01:50:00,1704084600,-8.007121,57.351089,2.5219,0.13655576,busca,0.5289
